stage,accountStopPct,reused,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
validation,10,True,19,9,47.368421052631575,9.97435633124999,-10.511245770499986,-14.05504273,42.10526315789473,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
confirmation,10,True,58,31,53.44827586206896,10.311725645000003,-10.905630761200008,-14.99564404499999,39.6551724137931,-22.114609391012287,0,4,2,50.0,3.7695613550000004,-8.164688328749989,-10.174003897499983,50.0,-21.005317080936713,0
validation,15,False,19,15,78.94736842105263,11.36301538450002,9.65824107000001,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
confirmation,15,False,58,36,62.06896551724138,11.211596942500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
validation,20,False,19,15,78.94736842105263,11.36301538450002,9.65824107000001,-1.024477545499991,5.263157894736842,-19.145769557216063,0,3,2,66.66666666666666,11.684146132499995,1.5172471901000062,-1.024477545499991,33.33333333333333,-19.145769557216063,0
confirmation,20,False,58,42,72.41379310344827,12.079500562500012,-11.951836012999987,-28.89600521,20.689655172413794,-31.172693959435406,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
