directory,candidate,stage,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_medianPct
monthly-etf-development,recovery-60-3-monthly,development,46,2,4.3478260869565215,0,-2.3202809257500014,-6.133174220250015,-6.1540707575000075,5,14,1,0
monthly-etf-development,recovery-80-3-monthly,development,46,2,4.3478260869565215,0,-1.4487715042500016,-6.564173111000016,-6.564173111000016,4,14,1,0
stock-development,momentum-20-3,development,46,7,15.217391304347828,-5.1839431687499875,-10.721999367249996,-13.781380150000011,-13.923201411338981,0,14,2,-4.887589002499981
stock-development,momentum-20-5,development,46,8,17.391304347826086,-5.448565008000012,-10.926638641250001,-12.83780525249998,-14.559622088691482,2,14,1,-5.448565008000012
stock-development,momentum-60-3,development,46,5,10.869565217391305,-6.013838678750005,-10.579357119999994,-12.8066682775,-16.09763389461144,0,14,0,-3.9798762687499876
stock-development,momentum-60-5,development,46,6,13.043478260869565,-5.099016679999996,-11.141820877499997,-12.276283094999997,-13.322416102517309,0,14,1,-5.662867059999993
stock-development,momentum-120-3,development,46,7,15.217391304347828,-6.633014268749998,-11.396186898749994,-12.345972625000002,-15.018134111428349,0,14,1,-9.876982291250014
stock-development,momentum-120-5,development,46,5,10.869565217391305,-4.948817934500005,-10.56147777775,-12.481576914999993,-16.96668845998054,0,14,2,-4.48683217675
stock-development,breakout-20,development,46,1,2.1739130434782608,-4.721068666250006,-10.579528118749998,-11.837110027500009,-11.837110027500009,0,14,1,-5.4248878612500055
stock-development,breakout-40,development,46,0,0,-4.7449781497500005,-9.501925513749988,-10.909732222500024,-11.239530555990672,0,14,0,-4.4146646224999975
stock-development,breakout-60,development,46,0,0,-4.780634711000004,-9.731528078750006,-10.95662462,-10.95662462,0,14,0,-4.103144627500004
recovery-stock-development,recovery-40-2,development,46,1,2.1739130434782608,-5.27028709050002,-10.313096907499991,-12.311792290000023,-12.311792290000023,0,14,0,-3.824455179999986
recovery-stock-development,recovery-40-3,development,46,4,8.695652173913043,-4.088945852499981,-10.334024809250003,-13.263888655000011,-14.308236452922173,0,14,0,-3.9227794162500054
recovery-stock-development,recovery-40-4,development,46,2,4.3478260869565215,-4.927459479999985,-10.367190409250005,-12.694026219999966,-13.349703704735582,0,14,1,-4.5525730175
recovery-stock-development,recovery-60-2,development,46,5,10.869565217391305,-2.361583721249999,-10.23361942749999,-12.73432847999999,-14.428401649287604,0,14,1,-1.404268062499986
recovery-stock-development,recovery-60-3,development,46,0,0,-4.488285326250002,-9.759237505000012,-12.253587764999995,-12.253587764999995,0,14,0,-3.5201522324999956
recovery-stock-development,recovery-60-4,development,46,1,2.1739130434782608,-3.0618093337500207,-9.514163511250029,-11.128223094999989,-11.304816679235996,0,14,1,-3.0618093337500207
recovery-stock-development,recovery-80-2,development,46,1,2.1739130434782608,-3.514209298749998,-9.456935663500015,-14.517484829999983,-16.1769418979437,0,14,0,-3.2916044749999984
recovery-stock-development,recovery-80-3,development,46,1,2.1739130434782608,-2.6805815887500195,-9.490453908749991,-12.49960417999999,-13.191644237746836,0,14,1,-3.301205551250014
recovery-stock-development,recovery-80-4,development,46,3,6.521739130434782,-3.2876416775000195,-8.96771851750001,-10.81024246750003,-11.572537921452087,0,14,0,-4.540858163750006
monthly-stock-development,momentum-20-3-monthly,development,46,8,17.391304347826086,-5.104900593750001,-10.253379677749995,-14.290856575,-16.56144398438839,0,14,1,-5.387334380000003
monthly-stock-development,momentum-20-5-monthly,development,46,9,19.565217391304348,-2.5913343524999966,-10.469435889999996,-12.253893300000007,-13.531543988980467,2,14,1,-3.3379278775000074
monthly-stock-development,momentum-60-3-monthly,development,46,8,17.391304347826086,-1.9902203665000062,-10.919932822500005,-16.15295105,-18.18661245632106,1,14,3,-2.735800896500007
monthly-stock-development,momentum-60-5-monthly,development,46,7,15.217391304347828,-4.779826484999999,-11.620656680000007,-14.016309485,-15.592874757233655,0,14,1,-5.129712502499989
monthly-stock-development,momentum-120-3-monthly,development,46,7,15.217391304347828,-3.6410470249999993,-11.265088624999997,-14.572475272500007,-16.10498887619918,0,14,1,-6.957923296250008
monthly-stock-development,momentum-120-5-monthly,development,46,8,17.391304347826086,-4.794411992500008,-11.027433434999995,-14.330595624999997,-17.591959792785527,0,14,2,-6.623459213749983
monthly-stock-development,recovery-40-3-monthly,development,46,2,4.3478260869565215,-2.4431002149999994,-6.490972834999997,-9.994426224999998,-10.699914323301485,2,14,0,-2.8557586537499957
monthly-stock-development,recovery-60-3-monthly,development,46,5,10.869565217391305,-1.9976083899999941,-6.973275642499999,-9.792932780000019,-10.9086010351385,0,14,1,-3.320159304999981
monthly-stock-development,recovery-80-3-monthly,development,46,3,6.521739130434782,-1.6939250399999994,-6.796953649999981,-9.975983041000013,-10.967501564679328,2,14,0,-2.4050843000000044
