directory,stage,candidate,threshold,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
entry/cost10-validation,validation,recovery-60-3-monthly,0.35,9,6,66.66666666666666,11.623996920000025,-1.047838148499991,-3.7646359424999942,22.22222222222222,-7.111957232499999,0,1,0,0.0,-0.3686386999999902,-0.3686386999999902,-0.3686386999999902,100.0,-4.327457070651642,0
entry/cost10-confirmation,confirmation,recovery-60-3-monthly,0.3,58,36,62.06896551724138,11.303795426249996,-0.7615224542499796,-8.05831116600001,12.068965517241379,-8.89256594572373,2,4,0,0.0,0.5223042137499967,-6.229903687950003,-8.05831116600001,50.0,-8.650334553006422,1
entry/cost10-confirmation,confirmation,recovery-60-3-monthly,0.35,38,25,65.78947368421053,12.24190730375,-0.554134801600003,-8.05831116600001,10.526315789473683,-8.05831116600001,2,3,2,66.66666666666666,10.922859497500003,4.591154299499984,3.0082279999999795,0.0,-3.120340510902664,0
entry/cost20-validation,validation,recovery-60-3-monthly,0.3,19,11,57.89473684210527,10.550824487500021,-4.390777537999981,-7.780933260500012,31.57894736842105,-9.012935980263581,0,3,0,0.0,-1.217381619999991,-6.468222932400008,-7.780933260500012,100.0,-8.095908785500017,0
entry/cost20-validation,validation,recovery-60-3-monthly,0.35,9,6,66.66666666666666,11.503040352500026,-1.211697981000004,-3.9347890549999764,22.22222222222222,-7.24054799499998,0,1,0,0.0,-0.5309252125000108,-0.5309252125000108,-0.5309252125000108,100.0,-4.343330403254364,0
entry/cost20-confirmation,confirmation,recovery-60-3-monthly,0.3,58,36,62.06896551724138,11.322941528749986,-0.9095381742499972,-8.200184672499999,12.068965517241379,-9.250340381750522,2,4,0,0.0,0.2591667875000203,-6.418350362499992,-8.200184672499999,50.0,-8.800046955696494,1
entry/cost20-confirmation,confirmation,recovery-60-3-monthly,0.35,38,25,65.78947368421053,12.162640087499998,-0.7059585140000029,-8.200184672499999,10.526315789473683,-8.200184672499999,2,3,2,66.66666666666666,10.718545704999993,4.366965579000013,2.7790705475000177,0.0,-3.121939042051014,0
entry/seed205-validation,validation,recovery-60-3-monthly,0.3,19,11,57.89473684210527,10.762013714999984,-4.189856593999988,-7.560504103499999,31.57894736842105,-8.939597709206748,0,3,0,0.0,-0.903143620000002,-6.229032006799999,-7.560504103499999,100.0,-7.875479628500004,0
entry/seed205-validation,validation,recovery-60-3-monthly,0.35,9,6,66.66666666666666,11.645968920000005,-1.0174011849999909,-3.74428712499999,22.22222222222222,-7.091939484999987,0,1,0,0.0,-0.33567969999999114,-0.33567969999999114,-0.33567969999999114,100.0,-4.3263445556496745,0
entry/seed205-confirmation,confirmation,recovery-60-3-monthly,0.3,58,36,62.06896551724138,11.324827883750011,-0.7272900242499877,-8.035123369000019,12.068965517241379,-8.861861673760618,2,4,0,0.0,0.5511782137500032,-6.202941530050013,-8.035123369000019,50.0,-8.634477562624088,1
