formationDays,topN,stage,reused,directory,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
20,3,development,False,faster-recovery/20-3-development,46,4,8.695652173913043,-0.02356643749999998,-8.107905711249991,-10.309843535000008,50,-10.848789170207596,3,14,2,14.285714285714285,-1.775543485750003,-6.0825902919000026,-7.618719289999987,57.14285714285714,-8.933700369999986,0
20,3,validation,False,faster-recovery/20-3-validation,19,9,47.368421052631575,3.666516872499992,-4.1555542615000025,-6.408920224999992,36.84210526315789,-9.16578151384756,0,3,1,33.33333333333333,-0.3342516500000059,-1.430424742000005,-1.7044680150000047,66.66666666666666,-9.16578151384756,0
20,3,confirmation,False,faster-recovery/20-3-confirmation,58,30,51.724137931034484,10.457068709874983,-4.185877198200004,-10.014047635500011,29.310344827586203,-11.618732884443638,0,4,1,25,2.888955658750009,-2.9442007039500018,-4.043536070999998,50,-8.914283445999994,0
20,5,development,False,faster-recovery/20-5-development,46,3,6.521739130434782,-0.5501376500000099,-6.158249727500009,-10.944886381999996,54.347826086956516,-10.944886381999996,3,14,0,0,-1.699254359250002,-5.7330654595999935,-10.013315590000015,71.42857142857143,-10.013315590000015,1
20,5,validation,False,faster-recovery/20-5-validation,19,4,21.052631578947366,3.4144077224999902,-1.0890078993000096,-3.7005159525000053,21.052631578947366,-8.359491251873862,0,3,0,0,1.4718263900000306,0.8960899455999982,0.7521558344999901,0,-7.822519830198161,0
20,5,confirmation,False,faster-recovery/20-5-confirmation,58,21,36.206896551724135,5.534815530000015,-5.359923650350011,-8.338081301999988,18.96551724137931,-12.297804757174235,0,4,1,25,4.209058319249992,-3.9979213409500223,-6.241310753500018,25,-9.127611133500013,0
30,3,development,False,faster-recovery/30-3-development,46,5,10.869565217391305,0.8639431975000278,-6.578926153749998,-10.78790987999999,45.65217391304348,-11.045545486345498,4,14,2,14.285714285714285,-1.6119181950000006,-8.959826960900001,-10.78790987999999,57.14285714285714,-11.045545486345498,0
30,3,validation,False,faster-recovery/30-3-validation,19,6,31.57894736842105,2.9379982849999875,-1.9906509739999745,-9.078708752500031,26.31578947368421,-10.336687007059131,1,3,1,33.33333333333333,1.5763460174999855,-0.7869331565000026,-1.3777529499999996,33.33333333333333,-6.360169577430764,1
30,3,confirmation,False,faster-recovery/30-3-confirmation,58,38,65.51724137931035,11.263573415000018,-0.15741904000001727,-8.338606468999998,10.344827586206897,-9.516246604244415,0,4,1,25,-0.8943984249999981,-6.477256296799993,-8.338606468999998,50,-8.338606468999998,0
40,3,validation,True,entry/daily-validation,19,3,15.789473684210526,0.4713404450000125,-5.527674867900021,-8.775049229999986,42.10526315789473,-11.073909197997567,0,3,0,0.0,-2.2732405225000085,-3.4662613645000007,-3.7645165749999987,66.66666666666666,-10.295145516802906,0
40,3,confirmation,True,entry/daily-confirmation,58,39,67.24137931034483,12.119780124999991,-0.03730544525000762,-7.159277358000016,10.344827586206897,-9.502819884182866,3,4,1,25.0,-0.04493351749999541,-1.9564795143000047,-2.683619724000008,50.0,-6.848421304693142,1
60,3,development,True,entry/monthly-development,46,7,15.217391304347828,-0.7314558725000087,-7.875079143750002,-11.587973680000008,60.86956521739131,-11.920155872609806,1,14,3,21.428571428571427,-2.4924736249999913,-5.981398035250014,-7.851586189999993,71.42857142857143,-8.120446777774537,0
60,3,validation,True,entry/daily-validation,19,11,57.89473684210527,10.762013714999984,-4.189856593999992,-7.560504103499999,31.57894736842105,-8.939597709206748,0,3,0,0.0,-0.903143620000002,-6.229032006799999,-7.560504103499999,100.0,-7.875479628500004,0
60,3,confirmation,True,entry/daily-confirmation,58,36,62.06896551724138,11.32482788375,-0.7272900242499843,-8.035123368999987,12.068965517241379,-8.861861673760618,2,4,0,0.0,0.5511782137500087,-6.202941530049987,-8.035123368999987,50.0,-8.634477562624099,1
