stage,threshold,passes,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
validation,0.25,True,37,27,72.97297297297297,11.729798902500011,-14.17426215350001,-18.458496435000004,24.324324324324326,-18.88832901061549,0,3,2,66.66666666666666,11.684146132499995,-6.898423386699983,-11.544065766499978,33.33333333333333,-18.756183809984293,0
validation,0.3,True,19,18,94.73684210526315,11.972501135000012,10.741522483500013,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
validation,0.35,True,9,9,100.0,14.211613713250015,11.603824754699996,11.2825392435,0.0,-11.918097405000005,0,1,1,100.0,11.684146132499995,11.684146132499995,11.684146132499995,0.0,-7.752731364411336,0
confirmation,0.25,True,71,49,69.01408450704226,11.87964812000002,-11.343986062500012,-17.186758227499986,30.985915492957744,-22.114609391012287,0,5,4,80.0,12.16251863500002,-0.0959499820000076,-7.503522000000018,20.0,-17.029608662636043,0
confirmation,0.3,True,58,40,68.96551724137932,12.079500562500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
confirmation,0.35,True,38,24,63.1578947368421,12.418114039999995,-10.467237679100014,-14.99564404499999,36.84210526315789,-22.114609391012287,0,3,3,100.0,12.89861940999999,12.309738790000013,12.16251863500002,0.0,-8.102594001925967,0
earlier,0.25,False,24,5,20.833333333333336,-5.919683406249998,-15.661133498800005,-18.4603474225,62.5,-18.713232883864183,1,2,0,0.0,-14.591756292000008,-15.561987142400005,-15.804544855000003,100.0,-16.55836663550001,0
earlier,0.3,False,18,4,22.22222222222222,-10.776018942999988,-15.439368857800002,-18.4603474225,61.111111111111114,-18.713232883864183,0,2,0,0.0,-14.591756292000008,-15.561987142400005,-15.804544855000003,100.0,-16.55836663550001,0
earlier,0.35,False,11,2,18.181818181818183,-12.775733394499989,-15.282864859,-18.4603474225,63.63636363636363,-18.713232883864183,0,1,0,0.0,-13.378967729000014,-13.378967729000014,-13.378967729000014,100.0,-16.55836663550001,0
