directory,candidate,condition,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
followup/ema-development,ema-12-26-0.3,all,46,2,4.3478260869565215,-4.6564735174999985,-11.091444971249997,-12.083831902500009,78.26086956521739,-12.721340457688102,0,14,0,0.0,-4.512686843500013,-11.307940391749991,-11.381145012499994,78.57142857142857,-11.381145012499994,0
followup/ema-development,ema-12-26-0.3,export_growth,12,2,16.666666666666664,-0.947609796999993,-11.401839018500002,-12.083831902500009,50.0,-12.185658668509836,0,6,0,0.0,-4.390365798499991,-11.7324884575,-12.083831902500009,50.0,-12.185658668509836,0
followup/ema-development,ema-12-26-0.3,recovery,10,0,0.0,-7.366664685750002,-10.467797862750004,-12.083831902500009,100.0,-12.721340457688102,0,7,0,0.0,-7.70546326999998,-11.006475876000007,-12.083831902500009,100.0,-12.721340457688102,0
followup/ema-development,ema-12-26-0.3,export_recovery,2,0,0.0,-10.779766785,-11.823018879000006,-12.083831902500009,100.0,-12.185658668509836,0,2,0,0.0,-10.779766785,-11.823018879000006,-12.083831902500009,100.0,-12.185658668509836,0
followup/ema-development,ema-12-26-1.0,all,46,1,2.1739130434782608,-6.231699746249991,-10.66722894375,-12.999237519999996,82.6086956521739,-13.013751632217973,0,14,0,0.0,-7.316680191250002,-10.979039785249979,-12.999237519999996,85.71428571428571,-13.013751632217973,0
followup/ema-development,ema-12-26-1.0,export_growth,12,1,8.333333333333332,-2.814617406250014,-10.367751298249992,-12.999237519999996,66.66666666666666,-13.013751632217973,0,6,0,0.0,-8.224225506250011,-11.756981931249992,-12.999237519999996,100.0,-13.013751632217973,0
followup/ema-development,ema-12-26-1.0,recovery,10,0,0.0,-7.37609649599999,-10.523018450999993,-10.597647427500013,90.0,-11.815680370469472,0,7,0,0.0,-7.089672915000012,-9.632876077,-10.51472634249999,85.71428571428571,-11.034942734652486,0
followup/ema-development,ema-12-26-1.0,export_recovery,2,0,0.0,-9.77985112125,-10.367751298249992,-10.51472634249999,100.0,-11.034942734652486,0,2,0,0.0,-9.77985112125,-10.367751298249992,-10.51472634249999,100.0,-11.034942734652486,0
followup/ema-development,ema-20-60-0.3,all,46,3,6.521739130434782,-4.793705336249992,-10.79233142999999,-11.713052745000018,82.6086956521739,-12.028731209181764,0,14,1,7.142857142857142,-6.106256675999988,-10.592881824899983,-11.237440617500027,78.57142857142857,-12.028731209181764,0
followup/ema-development,ema-20-60-0.3,export_growth,12,2,16.666666666666664,-3.8470378457500063,-8.926119246250003,-10.818705139999995,66.66666666666666,-11.03990848947155,0,6,1,16.666666666666664,-5.119804481249979,-7.466006828750005,-7.624930487499992,83.33333333333334,-11.03990848947155,0
