directory,candidate,condition,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
value/validation,lowper-3-20,all,45,7,15.555555555555555,-4.239090020000013,-10.807845711999994,-13.73628953999999,68.88888888888889,-13.73628953999999,0,13,1,7.6923076923076925,-4.3597825550000024,-11.453479734999998,-13.73628953999999,76.92307692307693,-13.73628953999999,0
value/validation,lowper-3-20,export_growth,17,1,5.88235294117647,-4.3597825550000024,-11.329371755999995,-13.73628953999999,88.23529411764706,-13.73628953999999,0,5,0,0.0,-4.239090020000013,-9.985686745999995,-13.73628953999999,100.0,-13.73628953999999,0
value/validation,lowper-3-20,recovery,5,1,20.0,-3.7908801124999947,-8.561754575000002,-9.263357375000004,60.0,-11.204045718665967,0,5,1,20.0,-3.7908801124999947,-8.561754575000002,-9.263357375000004,60.0,-11.204045718665967,0
value/validation,lowper-3-20,export_recovery,2,0,0.0,-6.527118743749999,-8.716109648750002,-9.263357375000004,100.0,-11.204045718665967,0,2,0,0.0,-6.527118743749999,-8.716109648750002,-9.263357375000004,100.0,-11.204045718665967,0
value/validation,lowper-5-20,all,45,9,20.0,-2.156410000000031,-10.60530189300001,-17.81356821250001,53.333333333333336,-20.52478942062144,0,13,2,15.384615384615385,-2.1711214350000008,-10.487948097500011,-11.901654644999994,61.53846153846154,-12.399594025196858,0
value/validation,lowper-5-20,export_growth,17,1,5.88235294117647,-2.803418709999994,-11.938033764999991,-12.58474906999999,70.58823529411765,-13.469386689682938,0,5,0,0.0,-1.8675389550000143,-8.271394862000001,-11.901654644999994,60.0,-12.138056280715514,0
value/validation,lowper-5-20,recovery,5,2,40.0,5.688611202500016,-7.057233532,-12.58474906999999,20.0,-13.437226225775568,0,5,2,40.0,5.688611202500016,-7.057233532,-12.58474906999999,20.0,-13.437226225775568,0
value/validation,lowper-5-20,export_recovery,2,0,0.0,-3.4480689337499872,-10.75741304274999,-12.58474906999999,50.0,-13.437226225775568,0,2,0,0.0,-3.4480689337499872,-10.75741304274999,-12.58474906999999,50.0,-13.437226225775568,0
value/validation,lowper-5-5,all,45,8,17.77777777777778,-3.8623432699999793,-11.00154357799999,-12.545067920000019,62.22222222222222,-13.531832269717325,0,13,3,23.076923076923077,-3.8623432699999793,-10.326185760400003,-11.169328694999992,69.23076923076923,-12.933197471358104,0
value/validation,lowper-5-5,export_growth,17,2,11.76470588235294,-6.083913229999993,-12.198493792499997,-12.545067920000019,70.58823529411765,-13.349992473283711,0,5,1,20.0,-5.930740922500011,-8.484975188,-9.826924559999984,80.0,-10.555876244008921,0
value/validation,lowper-5-5,recovery,5,2,40.0,3.3908586824999976,-8.421376421500009,-12.496656232500003,40.0,-13.349992473283711,0,5,2,40.0,3.3908586824999976,-8.421376421500009,-12.496656232500003,40.0,-13.349992473283711,0
