directory,slippageBps,seed,candidate,stage,uncertainActionAccounts,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed,majorityData_count,majorityData_targetHits,majorityData_targetFrequencyPct,majorityData_medianPct,majorityData_p10Pct,majorityData_worstPct,majorityData_lossFrequencyPct,majorityData_worstDrawdownPct,majorityData_unclosed
expanded/development-verified,5,204,momentum-20-5-monthly,development,2,46,12,26.08695652173913,-2.6623854887500134,-10.48295040524999,-13.762627243499992,58.69565217391305,-15.634823904635597,2,14,6,42.857142857142854,0.5678171912499808,-9.207714970249993,-9.340186769499992,50,-15.634823904635597,1,0,,,,,,,,
expanded/development-verified,5,204,momentum-60-3-monthly,development,0,46,18,39.130434782608695,-3.104917149499997,-12.831418082499995,-18.490885422500003,54.347826086956516,-24.983388192823487,0,14,7,50,1.6812733697500022,-12.076796961500007,-17.202176702500005,50,-17.202176702500005,0,0,,,,,,,,
expanded/development-verified,5,204,momentum-60-5-monthly,development,1,46,16,34.78260869565217,-4.697129382749998,-11.546885724000006,-15.340965159000008,60.86956521739131,-20.39787906149956,1,14,7,50,2.0377191712499787,-10.535656130749995,-11.140582075000005,50,-11.75039897495168,0,0,,,,,,,,
expanded/development-verified,5,204,momentum-120-3-monthly,development,0,46,15,32.608695652173914,-6.0990655312500035,-12.419508709750005,-16.98014442,60.86956521739131,-17.871216555000004,1,14,5,35.714285714285715,-7.101433586,-12.370703003000001,-16.6837167375,64.28571428571429,-16.6837167375,0,0,,,,,,,,
expanded/development-verified,5,204,momentum-120-5-monthly,development,0,46,17,36.95652173913043,-6.483843371999992,-11.479431740999996,-16.921634146999985,58.69565217391305,-16.921634146999985,0,14,4,28.57142857142857,-7.788763514750002,-10.940924317749992,-12.318237754999995,64.28571428571429,-13.52661830293127,0,0,,,,,,,,
expanded/development-verified,5,204,recovery-60-3-monthly,development,1,46,5,10.869565217391305,-1.9756175824999889,-7.879725377750008,-11.587973680000008,65.21739130434783,-12.348170808949543,1,14,2,14.285714285714285,-2.5683983387499945,-7.500053499499998,-7.860878658000003,78.57142857142857,-8.120446777774537,0,0,,,,,,,,
expanded/development-verified,5,204,recovery-40-3-monthly,development,0,46,7,15.217391304347828,-0.5212767924999917,-6.047645816249991,-10.369033145000007,52.17391304347826,-11.202497091957254,5,14,2,14.285714285714285,-1.8147762012500068,-6.613118359399998,-10.369033145000007,64.28571428571429,-11.202497091957254,1,0,,,,,,,,
expanded/development-verified,5,204,recovery-80-3-monthly,development,1,46,4,8.695652173913043,-1.1734393562500056,-7.766273502500004,-11.826942020000008,56.52173913043478,-13.301604615930184,0,14,2,14.285714285714285,-1.9458043195000052,-7.295455304900009,-10.906131045,71.42857142857143,-10.906131045,0,0,,,,,,,,
expanded/validation,5,204,momentum-20-5-monthly,validation,0,45,23,51.11111111111111,10.056405967500016,-11.131485208100003,-13.87219139,46.666666666666664,-16.35485985453099,0,13,7,53.84615384615385,11.009198910000006,-11.088906832999992,-13.87219139,46.15384615384615,-16.35485985453099,0,0,,,,,,,,
expanded/validation,5,204,momentum-60-5-monthly,validation,1,45,20,44.44444444444444,-3.1756219425000065,-11.104499970000013,-12.343168487500012,55.55555555555556,-13.817350787277382,0,13,6,46.15384615384615,-0.6913289799999944,-10.7389801956,-11.299012120000018,53.84615384615385,-11.686720665000006,0,0,,,,,,,,
expanded/validation,5,204,momentum-120-5-monthly,validation,1,45,19,42.22222222222222,-4.480774692500001,-11.411964048999998,-14.945248400000011,53.333333333333336,-17.195520468726134,1,13,5,38.46153846153847,-5.419580465000006,-9.548976187000005,-9.743698970000004,53.84615384615385,-13.731786781245992,1,0,,,,,,,,
expanded/validation,5,204,recovery-60-3-monthly,validation,1,45,10,22.22222222222222,2.2033612919999834,-4.581524271399995,-7.314874161499995,35.55555555555556,-10.260183368194253,1,13,2,15.384615384615385,-0.8131836637499834,-4.775801223000005,-7.314874161499995,61.53846153846154,-8.940513054457867,0,0,,,,,,,,
expanded/confirmation,5,204,momentum-20-5-monthly,confirmation,2,29,13,44.827586206896555,8.762004124249989,-8.838274087000006,-11.941033480000007,41.37931034482759,-14.30006862238603,0,9,4,44.44444444444444,-0.903604349999998,-9.366969440000005,-11.941033480000007,55.55555555555556,-13.67779483094883,0,0,,,,,,,,
expanded/confirmation,5,204,momentum-60-5-monthly,confirmation,0,29,13,44.827586206896555,-1.114671690000002,-8.719041310999998,-13.666157460000006,51.724137931034484,-14.680304720000015,0,9,4,44.44444444444444,-1.185317877500014,-10.416223322999993,-13.016828155000004,55.55555555555556,-13.581197285000002,0,0,,,,,,,,
expanded/confirmation,5,204,momentum-120-5-monthly,confirmation,0,29,13,44.827586206896555,-3.571862497499989,-11.391596178000011,-12.570366430000002,55.172413793103445,-21.157163231862043,0,9,3,33.33333333333333,-5.808986490000012,-10.887055076000014,-11.544220500000002,66.66666666666666,-13.055889835517132,0,0,,,,,,,,
expanded/confirmation,5,204,recovery-60-3-monthly,confirmation,0,29,16,55.172413793103445,11.009781525000006,-1.1920879039999943,-2.053807154999987,20.689655172413794,-9.370341384491143,0,9,5,55.55555555555556,10.370836254999993,-1.1920879039999943,-1.509679350000026,22.22222222222222,-9.370341384491143,0,0,,,,,,,,
expanded/cost20,20,204,recovery-60-3-monthly,confirmation,0,29,17,58.620689655172406,10.927279345000018,-1.5502557709999931,-3.3898773850000063,20.689655172413794,-9.508726758261965,0,9,5,55.55555555555556,10.203587694999982,-1.5502557709999931,-1.932722585000024,22.22222222222222,-9.508726758261965,0,0,,,,,,,,
expanded/seed205,5,205,recovery-60-3-monthly,confirmation,0,29,16,55.172413793103445,11.009781525000006,-1.1920879039999943,-2.053807154999987,20.689655172413794,-9.370341384491143,0,9,5,55.55555555555556,10.370836254999993,-1.1920879039999943,-1.509679350000026,22.22222222222222,-9.370341384491143,0,0,,,,,,,,
expanded/seed206,5,206,recovery-60-3-monthly,confirmation,0,29,16,55.172413793103445,11.009781525000006,-1.1920879039999943,-2.053807154999998,20.689655172413794,-9.370341384491143,0,9,5,55.55555555555556,10.370836254999993,-1.1920879039999943,-1.509679350000026,22.22222222222222,-9.370341384491143,0,0,,,,,,,,
