candidate,threshold,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,affectedAccountCount,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
recovery-60-3-monthly,0.25,24,0,0.0,-4.472314926000015,-8.832345308400004,-10.073952207499993,95.83333333333334,-10.79127584609222,6,0,2,0,0.0,-4.472314926000015,-4.63834750120001,-4.679855645000009,100.0,-6.653896735817066,1
recovery-60-3-monthly,0.3,18,0,0.0,-4.472314926000015,-9.012413610900012,-10.073952207499993,94.44444444444444,-10.79127584609222,5,0,2,0,0.0,-4.472314926000015,-4.63834750120001,-4.679855645000009,100.0,-6.653896735817066,1
recovery-60-3-monthly,0.35,11,0,0.0,-4.789693300000009,-8.896069362000015,-10.073952207499993,90.9090909090909,-10.415149858981499,3,0,1,0,0.0,-4.264774207000022,-4.264774207000022,-4.264774207000022,100.0,-6.653896735817066,0
recovery-60-3-stop12,0.25,24,0,0.0,-2.5850594757499956,-9.56292084134998,-10.742602337499962,95.83333333333334,-11.385925292614907,4,0,2,0,0.0,-3.1852608990000033,-4.380936695800008,-4.679855645000009,100.0,-5.88931702621367,1
recovery-60-3-stop12,0.3,18,0,0.0,-2.362943585750016,-9.988079210849987,-10.742602337499962,94.44444444444444,-11.385925292614907,3,0,2,0,0.0,-3.1852608990000033,-4.380936695800008,-4.679855645000009,100.0,-5.88931702621367,1
recovery-60-3-stop12,0.35,11,0,0.0,-2.3260290870000144,-9.822155170499979,-10.742602337499962,90.9090909090909,-10.742602337499962,1,0,1,0,0.0,-1.6906661529999978,-1.6906661529999978,-1.6906661529999978,100.0,-4.549977623552881,0
recovery-20-3-monthly,0.25,24,0,0.0,-3.4761596307499976,-9.75951392259999,-11.501821332499985,91.66666666666666,-11.591861659680136,3,0,2,0,0.0,-5.3085272077499965,-7.681203097549992,-8.274372069999991,100.0,-10.300627060414147,0
recovery-20-3-monthly,0.3,18,0,0.0,-2.8442501112499965,-6.025717425049995,-10.686814358500019,94.44444444444444,-10.686814358500019,3,0,2,0,0.0,-5.3085272077499965,-7.681203097549992,-8.274372069999991,100.0,-10.300627060414147,0
recovery-20-3-monthly,0.35,11,0,0.0,-2.9897401625000097,-5.062008291499998,-10.686814358500019,90.9090909090909,-10.686814358500019,2,0,1,0,0.0,-2.3426823455000023,-2.3426823455000023,-2.3426823455000023,100.0,-5.401257936672121,0
